item_id,order_id,product_id,quantity,unit_price,discount_percent
114,505,326,1,1496,19
115,227,77,3,1761,19
116,478,266,-5,970,41
117,464,77,1,1820,35
118,482,470,4,577,39
119,453,230,3,502,11
120,255,153,5,764,26
121,135,333,4,1821,18
122,266,192,3,1090,20
123,217,223,4,635,37
124,202,354,3,1126,38
125,219,297,4,1612,45
126,503,478,2,1386,16
127,533,230,3,263,21
128,399,477,3,1310,48
129,525,64,2,1937,41
130,343,375,4,1666,1
131,211,194,3,199,9
132,68,325,4,442,34
133,6,334,3,993,43
134,168,221,2,165,6
135,292,20,3,738,19
136,531,461,5,464,30
137,447,283,2,1417,38
138,305,89,2,1782,1
139,124,90,4,1060,41
140,434,365,4,854,23
141,328,268,5,295,39
142,516,255,4,100,50
143,230,447,1,376,0
144,398,185,1,1187,36
145,329,62,3,1869,31
146,393,458,2,1260,45
147,165,10,2,1579,48
148,420,154,5,407,27
149,276,317,1,242,23
150,161,471,1,618,33
151,397,368,1,1720,0
152,337,475,3,1532,48
153,269,255,4,898,24
154,359,185,4,1858,43
155,231,67,3,997,46
156,152,477,5,1920,27
157,481,382,5,967,11
158,540,383,1,1760,48
159,89,199,3,1586,20
160,76,41,2,1792,10
161,21,223,2,1555,1
162,61,356,2,746,9
163,412,468,3,1277,28
164,272,265,2,556,7
165,184,59,1,1135,41
166,321,493,2,1849,25
167,40,74,1,923,36
168,174,217,3,412,20
169,276,342,1,1828,38
170,156,431,1,1824,43
171,201,429,5,897,13
172,73,279,5,551,16
173,321,194,3,1671,6
174,315,424,4,697,42
175,334,211,1,645,20
176,98,51,2,858,14
177,404,366,4,1085,31
178,197,412,2,530,9
179,467,307,3,1815,21
180,468,178,1,1134,11
181,309,275,5,911,26
182,523,294,3,725,4
183,241,328,-4,1074,36
184,268,45,5,951,40
185,459,229,5,881,32
186,273,134,3,337,44
187,95,5,2,505,9
188,113,86,2,492,10
189,164,479,5,1505,41
190,309,143,3,623,37
191,46,139,4,801,12
192,243,282,4,598,2
193,498,357,5,1799,38
194,268,35,5,1830,10
195,4,194,5,1030,38
196,55,476,4,441,3
197,457,362,1,1687,0
198,135,52,3,1200,24
199,305,209,4,1769,2
200,341,334,3,597,32
201,319,20,4,684,44
202,310,192,2,952,44
203,63,481,4,1291,30
204,516,156,2,1856,2
205,504,498,3,231,18
206,67,92,4,126,29
207,88,366,4,104,13
208,122,20,1,1247,22
209,501,376,5,1414,29
210,542,468,3,1460,45
211,491,373,1,587,17
212,515,53,5,345,13
213,92,266,2,1852,24
214,491,127,5,1945,5
215,256,415,1,1152,23
216,279,129,5,883,45
217,39,42,2,735,31
218,224,37,3,861,15
219,431,49,4,396,33
220,224,232,2,1080,7
221,273,106,5,853,22
222,323,195,5,1595,31
223,390,268,4,973,6
224,116,60,4,1875,45
225,542,71,4,630,42
226,432,451,5,1511,24
227,145,324,2,1433,0
228,106,90,4,1150,32
229,275,327,5,1732,17
230,363,413,4,156,24
231,361,219,1,665,14
232,275,142,1,1507,46
233,470,7,4,1220,1
234,463,413,1,1032,34
235,531,319,1,1076,14
236,328,41,5,366,8
237,436,386,3,112,45
238,153,167,4,1297,40
239,493,431,5,403,20
240,415,101,2,1754,13
241,136,485,2,739,18
242,460,287,1,1877,27
243,245,27,4,854,3
244,126,124,2,886,47
245,214,63,3,1076,22
246,518,360,1,1351,18
247,468,386,2,1376,24
248,63,466,4,1099,35
249,15,351,1,480,9
250,476,183,4,557,7
251,212,176,3,807,13
252,479,374,3,299,42
253,190,269,1,1647,25
254,424,101,2,1553,1
255,504,497,3,852,1
256,306,291,2,1753,41
257,548,232,5,1327,47
258,184,31,4,591,16
259,179,64,1,780,36
260,207,106,4,1278,4
261,166,437,3,367,13
262,106,16,3,1826,27
263,6,276,1,1192,48
264,425,290,4,676,2
265,500,280,1,1621,32
266,313,24,5,304,48
267,242,169,4,1567,48
268,350,197,5,1908,38
269,382,405,5,650,31
270,153,242,3,1253,45
271,334,52,5,1005,14
272,530,291,2,1043,39
273,3,81,3,694,5
274,249,484,5,1503,0
275,442,1,1,1184,41
276,145,424,4,790,0
277,340,448,1,1661,6
278,404,225,2,1387,50
279,547,348,2,148,40
280,255,185,1,1690,34
281,460,322,1,1290,20
282,253,312,3,1451,26
283,209,184,4,1377,50
284,213,229,3,1401,46
285,230,205,1,737,21
286,121,356,4,523,32
287,102,416,2,1279,9
288,194,93,5,1334,8
289,389,362,1,330,38
290,475,109,5,400,43
291,337,206,3,664,21
292,486,10,1,956,4
293,270,226,1,1467,44
294,253,289,4,761,33
295,498,61,1,756,40
296,403,342,5,584,38
297,184,496,4,1185,48
298,469,70,5,1644,43
299,482,469,1,1875,10
300,138,485,1,1147,24
301,105,497,4,279,27
302,373,359,3,867,7
303,42,54,1,1482,35
304,150,329,4,1621,6
305,342,236,2,1943,45
306,522,162,3,1671,47
307,289,267,4,522,31
308,229,34,2,152,11
309,517,98,2,1142,3
310,244,22,5,1538,31
311,454,178,3,1095,20
312,505,226,1,1820,0
313,181,220,1,1339,27
314,227,95,2,1109,34
315,276,83,5,1970,11
316,197,40,5,548,13
317,213,25,4,592,37
318,268,174,4,1707,42
319,59,393,4,1210,45
320,275,239,5,1002,6
321,255,132,2,1561,1
322,351,18,2,432,32
323,378,259,3,1199,13
324,1,322,3,996,16
325,197,453,3,1964,16
326,349,28,1,571,2
327,83,161,5,1534,0
328,172,62,5,1643,20
329,550,240,3,384,1
330,109,17,5,654,6
331,163,197,3,723,16
332,222,137,4,1838,22
333,102,299,1,602,38
334,199,83,1,736,23
335,93,76,1,371,30
336,401,387,4,1007,7
337,437,22,1,138,5
338,256,177,2,1825,7
339,513,448,2,405,27
340,207,61,3,161,39
341,487,273,5,589,44
342,406,414,1,956,30
343,298,174,2,878,32
344,328,26,5,141,12
345,257,209,2,619,23
346,236,97,2,731,42
347,233,42,5,945,28
348,474,442,1,1533,36
349,25,70,4,1351,12
350,40,173,2,292,12
351,198,289,4,342,45
352,277,497,2,1776,18
353,186,320,4,1134,28
354,121,320,3,1958,44
355,321,456,4,399,50
356,40,301,4,1222,14
357,171,393,5,313,9
358,452,118,2,1650,27
359,533,175,3,143,35
360,422,75,2,262,38
361,17,125,5,1863,27
362,79,74,5,435,22
363,410,263,4,1083,46
364,205,50,-5,1454,20
365,42,444,5,624,38
366,30,415,5,1522,18
367,25,453,4,201,46
368,284,70,3,179,48
369,447,483,5,610,37
370,254,487,1,497,23
371,363,8,4,1606,29
372,302,170,4,286,26
373,473,283,2,303,44
374,163,96,4,1529,4
375,40,313,1,823,47
376,62,144,1,1642,19
377,286,107,5,1130,38
378,165,120,3,1433,33
379,27,475,1,1692,5
380,73,244,2,596,30
381,331,294,5,333,30
382,202,319,1,1326,2
383,43,294,3,1057,44
384,394,358,-4,1605,29
385,297,135,4,431,48
386,110,175,4,175,47
387,21,75,5,1849,6
388,49,48,4,632,44
389,129,59,1,879,36
390,56,472,3,1281,38
391,438,406,4,502,14
392,414,469,2,1447,23
393,225,399,3,1602,8
394,546,166,3,1565,28
395,272,37,3,902,39
396,463,368,5,1689,10
397,454,133,2,1278,12
398,531,37,2,1529,36
399,118,65,3,1884,7
400,339,345,3,125,32
401,462,410,2,1710,28
402,548,338,2,185,11
403,225,441,1,610,40
404,508,5,2,1015,31
405,311,56,4,1708,22
406,144,434,4,1551,17
407,53,183,4,254,0
408,312,426,4,409,21
409,477,250,2,1440,4
410,131,500,5,1775,25
411,184,63,3,426,20
412,100,229,5,816,18
413,109,344,1,985,3
414,516,495,3,398,36
415,273,89,5,911,4
416,349,223,2,1314,32
417,543,6,5,394,21
418,327,278,1,727,3
419,537,35,2,939,45
420,403,184,3,583,16
421,242,227,2,636,11
422,522,123,4,552,7
423,473,448,1,1941,40
424,371,238,5,1491,10
425,124,412,1,1457,5
426,476,364,2,850,7
427,262,289,1,1021,12
428,5,308,4,301,24
429,36,467,3,1082,25
430,478,273,3,1877,44
431,10,40,1,1444,23
432,485,354,3,973,44
433,198,320,4,349,12
434,540,384,4,1645,17
435,407,245,4,1348,33
436,161,235,3,876,21
437,476,361,5,410,8
438,414,165,4,1504,9
439,491,63,4,1886,43
440,288,109,2,1811,31
441,509,426,4,1556,9
442,296,157,4,1013,5
443,382,216,5,1519,0
444,1,332,4,1080,35
445,282,13,3,1552,12
446,123,101,3,1676,20
447,11,296,2,692,13
448,351,458,5,1371,14
449,87,112,4,1381,30
450,39,114,5,163,43
451,84,15,3,1332,42
452,433,316,4,151,10
453,359,236,4,305,13
454,342,210,3,770,6
455,34,62,2,401,41
456,475,277,1,1437,46
457,97,265,2,990,20
458,169,350,5,143,47
459,489,204,1,707,9
460,76,253,5,1155,23
461,31,112,1,326,36
462,175,157,3,603,22
463,51,44,2,773,15
464,249,343,1,1264,27
465,169,456,2,889,10
466,350,89,3,289,31
467,10,344,5,1771,50
468,168,377,5,503,12
469,53,57,5,423,19
470,330,221,2,683,1
471,339,423,2,562,21
472,479,234,5,1803,21
473,55,139,3,1318,44
474,86,264,4,1025,50
475,355,359,2,997,13
476,54,256,1,845,21
477,415,292,1,164,10
478,383,457,3,1716,44
479,260,77,5,193,42
480,365,177,1,1001,38
481,96,320,5,1840,13
482,508,344,4,322,32
483,240,499,1,774,29
484,104,369,2,218,1
485,443,233,5,144,25
486,247,440,4,1713,0
487,296,426,1,795,33
488,356,364,1,1002,50
489,465,326,1,194,10
490,215,270,4,1845,10
491,374,329,5,243,17
492,128,422,2,1192,29
493,526,40,5,1091,20
494,505,178,2,188,37
495,474,336,3,875,4
496,470,359,4,1897,18
497,487,66,2,1390,3
498,249,358,4,870,21
499,54,7,3,295,39
500,136,314,4,639,50
501,456,128,5,1531,23
502,396,274,5,1307,16
503,361,30,1,656,9
504,5,283,3,1584,13
505,467,359,5,1927,22
506,430,70,2,432,12
507,309,305,3,1117,44
508,231,423,4,967,12
509,153,440,2,753,43
510,385,240,5,1143,11
511,370,260,4,1433,50
512,279,450,4,795,35
513,264,297,2,203,21
514,319,67,3,1002,30
515,430,356,4,1222,43
516,237,331,3,966,8
517,408,455,2,116,41
518,101,97,3,1667,24
519,55,352,4,835,17
520,253,205,2,464,17
521,135,388,5,1978,21
522,37,15,3,1730,29
523,110,411,4,596,14
524,327,397,1,542,42
525,191,462,3,309,46
526,280,438,3,1702,19
527,118,245,5,863,6
528,36,389,2,940,23
529,104,233,5,954,3
530,275,403,4,1667,2
531,438,160,4,523,5
532,453,80,1,1779,41
533,368,387,1,833,19
534,79,154,2,1140,44
535,200,412,1,557,10
536,231,301,5,770,7
537,170,130,1,269,43
538,407,423,3,1535,1
539,524,357,-5,276,36
540,233,474,1,216,38
541,522,347,5,1370,46
542,161,142,4,200,9
543,70,43,1,1883,27
544,189,193,5,1636,6
545,225,46,1,1922,19
546,427,88,5,1618,33
547,86,68,4,1845,45
548,144,472,2,555,10
549,175,290,5,870,26
550,398,383,5,1338,16
551,358,167,2,1953,10
552,539,443,1,1147,0
553,278,35,5,1404,36
554,535,276,3,1293,18
555,316,227,2,1794,27
556,140,21,2,1081,17
557,549,460,5,1706,7
558,86,100,5,1984,34
559,284,34,-1,1484,33
560,335,308,4,1182,42
561,380,436,1,1080,19
562,71,73,4,688,10
563,373,386,2,1158,0
564,501,267,1,605,8
565,418,479,1,862,17
566,308,375,5,1813,31
567,443,216,1,1809,37
568,380,108,3,1668,14
569,296,490,2,1926,25
570,176,84,2,1038,44
571,136,262,1,1979,18
572,197,282,5,273,50
573,339,437,3,331,18
574,276,117,2,699,43
575,215,274,-1,1781,24
576,478,142,4,1618,19
577,200,178,4,762,23
578,332,335,5,287,10
579,72,357,3,258,36
580,436,123,2,1418,28
581,208,64,2,1567,18
582,451,272,3,914,36
583,54,259,2,1348,24
584,105,469,2,1566,26
585,271,200,1,461,26
586,246,129,1,1775,7
587,529,452,4,1851,33
588,134,118,4,290,3
589,192,116,1,477,30
590,424,296,1,1333,30
591,347,484,3,188,35
592,70,64,3,1667,18
593,272,15,5,1012,45
594,337,434,4,165,6
595,188,153,3,1519,2
596,526,282,2,1283,46
597,138,114,3,652,50
598,429,394,3,522,11
599,253,168,4,305,12
600,166,481,3,101,24
601,190,332,4,1420,9
602,211,347,5,1243,6
603,206,479,1,399,26
604,83,474,3,1133,15
605,153,477,1,1237,49
606,312,215,5,609,16
607,59,377,4,1236,11
608,299,420,5,734,43
609,101,24,5,1211,36
610,542,206,2,862,16
611,34,280,2,1195,42
612,289,129,-2,841,36
613,226,59,1,1665,16
614,484,409,5,483,12
615,541,384,5,306,2
616,394,449,3,768,34
617,77,166,-1,1398,42
618,511,486,3,1044,31
619,337,439,2,476,4
620,163,243,4,1415,31
621,489,162,3,316,38
622,20,400,2,774,15
623,46,325,2,1773,46
624,97,493,4,1993,48
625,161,415,4,1902,12
626,314,191,1,1485,13
627,457,107,3,706,15
628,350,374,1,151,6
629,347,427,3,128,29
630,241,281,3,454,8
631,546,338,1,488,46
632,149,423,4,1538,1
633,414,395,4,1912,28
634,98,7,3,708,6
635,232,118,5,1572,50
636,417,120,5,389,24
637,89,474,1,964,17
638,355,483,3,418,30
639,421,157,4,1102,23
640,268,428,1,766,13
641,125,219,1,984,0
642,484,187,4,1853,19
643,502,34,5,847,48
644,308,226,5,170,46
645,6,192,4,118,44
646,58,1,3,1458,19
647,65,28,3,466,49
648,48,187,5,1398,28
649,340,36,4,1917,44
650,8,385,3,920,18
651,352,145,5,945,42
652,387,338,3,1323,25
653,523,204,1,1410,5
654,324,495,5,1969,15
655,64,394,4,689,12
656,92,287,4,1475,27
657,47,355,3,899,49
658,126,423,5,1065,8
659,272,82,3,1134,46
660,437,26,3,927,38
661,309,101,2,981,43
662,295,319,5,1406,49
663,72,109,3,1807,13
664,272,353,5,1307,27
665,282,305,3,776,40
666,109,181,3,730,36
667,394,65,3,212,45
668,255,300,2,1021,7
669,331,27,1,503,28
670,129,233,5,1500,34
671,281,87,2,135,44
672,519,285,4,1835,8
673,41,410,5,1182,13
674,180,300,1,182,43
675,446,30,1,1712,25
676,340,259,2,394,23
677,217,389,4,1917,40
678,538,174,5,1470,0
679,98,87,2,1423,31
680,29,99,2,1597,40
681,190,410,4,727,49
682,374,258,4,1306,39
683,213,215,1,911,25
684,223,131,4,120,4
685,543,175,3,1355,43
686,431,388,4,1358,24
687,205,1,-3,425,42
688,491,467,3,1002,8
689,3,400,5,165,44
690,261,131,4,842,37
691,331,320,2,887,37
692,472,421,3,602,47
693,388,62,5,446,34
694,200,108,1,626,39
695,180,489,2,408,36
696,28,112,4,748,12
697,286,39,4,150,13
698,343,412,3,357,36
699,322,221,2,255,10
700,334,152,2,1798,1
701,60,61,1,571,30
702,512,257,1,311,5
703,493,174,5,542,7
704,61,328,4,1780,37
705,434,242,2,509,43
706,4,204,-1,735,30
707,279,122,3,1996,6
708,487,210,4,1790,27
709,388,3,4,308,28
710,170,414,5,207,24
711,311,357,-3,1491,25
712,28,408,4,621,44
713,382,245,3,1002,11
714,276,382,3,460,18
715,476,112,4,815,37
716,166,75,4,395,5
717,137,63,5,1745,4
718,350,500,3,1665,14
719,269,499,4,809,1
720,487,97,4,367,21
721,484,293,4,765,13
722,214,352,5,1819,5
723,521,45,2,716,39
724,34,423,1,1900,17
725,182,221,1,393,8
726,293,428,3,515,3
727,302,488,-1,647,20
728,46,150,1,130,45
729,222,50,4,220,43
730,284,12,5,1351,14
731,478,394,5,1524,11
732,21,309,1,736,20
733,43,245,3,1650,20
734,114,17,4,353,35
735,10,156,1,1249,34
736,115,402,2,1902,23
737,218,200,3,858,36
738,66,202,1,1358,42
739,162,434,5,1592,29
740,17,386,2,856,30
741,326,342,5,424,32
742,412,329,1,1580,25
743,147,226,4,545,15
744,366,29,4,796,27
745,54,443,1,715,10
746,388,55,2,1334,49
747,441,433,1,659,34
748,210,401,5,1811,34
749,384,297,1,1477,31
750,345,110,2,778,50
751,280,154,4,108,38
752,193,336,3,1084,31
753,108,279,2,1305,39
754,243,40,2,1062,18
755,349,102,5,844,44
756,468,326,1,1339,38
757,207,342,5,1516,6
758,11,390,2,1938,35
759,429,408,3,962,26
760,291,249,3,351,38
761,162,188,5,1296,10
762,434,414,1,672,28
763,314,346,3,491,0
764,239,412,3,1148,50
765,173,261,-2,1695,7
766,211,69,1,1613,20
767,221,423,1,1937,46
768,12,272,3,1017,18
769,101,62,4,537,14
770,101,287,3,244,3
771,345,320,2,1160,7
772,244,468,5,1181,11
773,417,363,2,1754,39
774,536,124,3,1127,21
775,494,97,2,1889,11
776,211,364,5,968,9
777,67,495,3,747,16
778,416,481,2,1313,3
779,268,147,4,1799,8
780,459,120,2,1712,12
781,483,469,4,335,41
782,452,203,3,1866,7
783,129,96,2,1350,5
784,373,51,4,1680,6
785,91,406,5,939,11
786,211,154,5,1602,49
787,478,114,2,1523,0
788,487,47,1,620,12
789,85,419,5,1280,10
790,538,47,1,282,2
791,230,120,5,966,40
792,2,12,3,1786,24
793,545,396,2,1203,33
794,63,230,2,1148,24
795,226,326,2,1002,19
796,436,86,4,1310,0
797,139,197,2,183,45
798,28,46,2,1690,0
799,156,14,3,223,14
800,450,436,5,1016,43
801,498,192,3,1326,12
802,124,287,3,800,42
803,189,258,5,1974,21
804,41,207,2,1312,43
805,461,317,1,1561,49
806,207,254,2,1863,22
807,6,44,5,878,26
808,280,335,3,855,9
809,512,434,2,1368,26
810,332,188,1,883,18
811,386,289,3,1547,25
812,296,291,4,1801,1
813,68,194,5,140,20
814,347,441,1,1158,1
815,275,393,4,1436,14
816,479,486,3,501,12
817,135,469,4,719,12
818,165,499,2,1631,1
819,15,368,2,579,35
820,453,73,5,1179,24
821,14,295,2,1998,18
822,174,460,4,252,5
823,31,132,5,1427,20
824,248,315,4,876,39
825,12,60,1,1861,43
826,183,61,2,1329,45
827,300,364,1,1622,36
828,547,95,2,407,31
829,184,346,1,1843,29
830,389,462,3,671,5
831,370,175,4,122,42
832,22,431,-2,406,40
833,181,179,3,145,1
834,72,320,3,1071,5
835,303,123,1,514,43
836,265,435,1,722,0
837,266,310,2,705,1
838,163,266,5,726,19
839,268,446,4,1515,15
840,235,326,2,1780,39
841,183,156,1,1053,40
842,305,59,2,1536,18
843,151,263,2,1586,7
844,37,51,1,926,12
845,297,334,4,1904,17
846,375,74,1,1048,38
847,450,433,5,1788,33
848,116,418,1,285,1
849,56,120,2,1154,38
850,215,386,4,1701,23
851,93,449,4,204,12
852,461,101,1,1635,16
853,328,98,3,1074,18
854,515,456,3,1074,42
855,507,290,5,1590,21
856,31,5,5,760,23
857,350,173,5,1604,22
858,497,347,4,1391,23
859,3,380,4,718,11
860,546,123,2,1583,37
861,545,165,1,1922,14
862,25,60,4,915,38
863,352,312,1,1641,24
864,157,155,3,260,32
865,259,68,2,685,31
866,496,357,1,126,42
867,384,431,5,1506,35
868,223,346,1,1771,37
869,474,29,2,1360,14
870,342,18,1,812,34
871,343,350,3,1825,45
872,499,440,4,1063,16
873,517,150,1,523,40
874,54,89,5,331,23
875,418,68,3,1786,6
876,509,89,2,870,21
877,190,468,1,1911,48
878,82,303,2,745,42
879,114,20,2,1221,20
880,528,119,1,129,23
881,112,371,4,1887,26
882,144,185,2,1342,33
883,73,432,5,1960,31
884,12,153,2,675,26
885,410,383,1,922,32
886,466,37,5,1978,22
887,183,464,3,315,41
888,165,131,1,1032,26
889,328,264,2,1490,44
890,480,94,3,1895,46
891,7,452,5,1830,6
892,115,472,1,480,8
893,404,313,1,493,12
894,512,39,1,407,23
895,310,360,1,1363,43
896,541,190,5,1661,18
897,512,384,1,1754,49
898,454,153,5,1447,43
899,398,214,4,1986,14
900,35,289,2,1079,16
901,308,82,4,858,38
902,248,331,5,1687,11
903,482,384,5,368,45
904,130,276,1,1913,20
905,420,349,3,331,5
906,190,220,2,127,14
907,477,333,4,802,17
908,269,171,-4,910,33
909,312,44,4,1677,15
910,144,199,4,1198,10
911,524,152,1,1141,37
912,472,477,1,580,41
913,410,85,1,936,10
914,160,81,1,284,1
915,475,147,3,1238,22
916,22,282,1,1994,19
917,137,402,4,1488,40
918,479,292,2,241,46
919,70,407,1,1071,7
920,450,109,1,890,1
921,501,2,5,1199,34
922,56,251,4,1989,31
923,428,260,5,532,35
924,339,186,2,1316,3
925,360,13,4,1611,29
926,346,130,-5,559,17
927,86,494,4,1051,34
928,447,470,4,1303,32
929,167,405,1,1758,8
930,361,487,2,1598,6
931,467,413,1,1773,37
932,346,432,5,1730,34
933,483,407,2,1989,45
934,331,144,1,1686,16
935,472,191,1,491,12
936,134,139,2,868,18
937,222,86,4,1489,48
938,486,303,2,1174,18
939,179,266,1,817,19
940,169,439,4,1261,37
941,382,419,4,1438,6
942,301,81,1,1313,45
943,330,153,3,1872,1
944,470,255,1,1446,8
945,466,217,3,872,38
946,474,359,5,1880,23
947,275,313,4,1438,46
948,209,61,5,1471,43
949,426,88,1,1555,39
950,426,226,2,845,13
951,520,57,1,980,49
952,111,60,3,1375,48
953,32,286,3,903,13
954,110,250,1,403,36
955,20,325,5,945,44
956,361,125,4,825,19
957,47,310,2,829,35
958,305,295,2,664,8
959,510,230,3,1407,5
960,214,317,3,639,13
961,426,261,2,555,46
962,96,272,-5,466,35
963,488,413,1,1205,35
964,81,324,3,506,6
965,495,128,4,818,2
966,56,299,2,439,34
967,417,388,3,1189,13
968,350,434,5,1430,26
969,545,67,5,1205,48
970,29,203,5,1244,36
971,148,490,3,1944,16
972,129,174,4,1587,11
973,439,41,2,1571,11
974,417,96,4,1397,9
975,76,330,1,271,43
976,429,168,1,234,23
977,165,59,1,308,35
978,129,375,4,600,17
979,199,247,1,880,48
980,496,463,2,550,49
981,352,321,4,500,43
982,194,309,-1,702,20
983,72,346,4,1025,44
984,289,136,3,479,35
985,332,480,2,536,48
986,229,140,3,1389,16
987,171,324,2,364,43
988,483,388,3,938,11
989,287,42,4,900,3
990,31,51,4,551,42
991,34,127,4,888,38
992,499,318,3,1284,0
993,531,145,1,1067,29
994,343,225,4,1944,48
995,397,450,2,1175,11
996,527,111,5,489,21
997,297,138,1,121,50
998,311,482,4,547,45
999,288,406,3,1033,16
1000,507,85,2,902,1
